Fuel,Elec,Gas
StartDate,2015-01-01,
EndDate,2015-12-31,
Timezone,Europe/London,
290,1474465,275.0276
291,1459278,290.714
292,1669979,258.1805
293,1641616,251.1739
294,1636882,264.4473
295,1580028,246.8164
296,1627844,277.7108
297,1438898,271.1263
298,1485374,289.2168
299,1627137,237.1302
300,1674737,220.9337
301,1679041,251.1261
302,1656776,286.5162
303,1637983,307.5615
304,1445839,288.3208
305,1459851,287.8675
306,1705093,251.844
307,1752634,251.6511
308,1740733,276.2724
309,1711910,274.5885
310,1642248,279.7447
311,1460865,284.5383
312,1421717,288.6371
313,1597123,288.6857
314,1602862,282.8248
315,1620147,289.5205
316,1606439,282.3124
317,1584376,273.9448
318,1522669,293.9186
319,1406864,289.1697
320,1605951,270.7692
321,1691535,279.3804
322,1641710,314.626
323,1695835,317.3217
324,1696586,325.4917
325,1592298,329.6701
326,1656392,321.408
327,1856462,312.0413
328,1818077,326.9956
329,1795911,357.5313
330,1805281,355.5563
331,1688309,354.5772
332,1560413,361.5578
333,1520561,365.8242
334,1803131,310.0307
335,1767014,295.7581
336,1724222,310.8497
337,1766660,325.6344
338,1670691,298.6085
339,1524461,289.3549
340,1514648,292.5274
341,1705932,272.8989
342,1687307,284.6445
343,1729858,326.3138
344,1758782,350.9301
345,1747643,361.8405
346,1654725,363.6233
347,1663075,364.932
348,1839562,310.4989
349,1810687,310.9094
350,1720675,308.1458
351,1676616,299.7707
352,1640747,311.493
353,1436057,290.0618
354,1394681,270.2946
355,1641213,258.05
356,1602321,240.1971
357,1541199,254.9791
358,1451864,285.4157
359,1351758,306.1519
360,1248036,299.4864
361,1371959,303.7806
362,1355858,295.9696
363,1405989,276.3238
364,1466927,265.1263
365,1451906,265.4273
