Season,Aut,Aut,Aut,HSr,HSr,HSr,Smr,Smr,Smr,Spr,Spr,Spr,Wtr,Wtr,Wtr,WtrII,WtrII,WtrII
Day,Wd,Sat,Sun,Wd,Sat,Sun,Wd,Sat,Sun,Wd,Sat,Sun,Wd,Sat,Sun,Wd,Sat,Sun
Tariff,DomUnr,DomUnr ,DomUnr,DomUnr,DomUnr ,DomUnr,DomUnr,DomUnr ,DomUnr,DomUnr,DomUnr ,DomUnr,DomUnr,DomUnr ,DomUnr,DomUnr,DomUnr ,DomUnr
StartDate,2014-09-01,2014-09-01,2014-09-01,2014-07-20,2014-07-20,2014-07-20,2014-05-11,2014-05-11,2014-05-11,2014-03-30,2014-03-30,2014-03-30,2014-01-01,2014-01-01,2014-01-01,2014-10-26,2014-10-26,2014-10-26
EndDate,2014-10-25,2014-10-25,2014-10-25,2014-08-31,2014-08-31,2014-08-31,2014-07-19,2014-07-19,2014-07-19,2014-05-10,2014-05-10,2014-05-10,2014-03-29,2014-03-29,2014-03-29,2014-12-31,2014-12-31,2014-12-31
Timezone,Europe/London,,,,,,,,,,,,,,,,,
00:30,0.351,0.364,0.374,0.297,0.294,0.299,0.307,0.325,0.325,0.397,0.38,0.4,0.548,0.57,0.58,0.548,0.57,0.58
01:00,0.339,0.355,0.379,0.283,0.293,0.289,0.285,0.307,0.311,0.37,0.352,0.369,1.291,1.319,1.315,1.291,1.319,1.315
01:30,0.36,0.38,0.397,0.277,0.287,0.282,0.297,0.316,0.316,0.401,0.398,0.402,1.225,1.258,1.246,1.225,1.258,1.246
02:00,0.705,0.759,0.737,0.445,0.46,0.463,0.589,0.613,0.603,1.023,1.084,1.078,1.223,1.246,1.24,1.223,1.246,1.24
02:30,0.635,0.677,0.663,0.399,0.403,0.404,0.496,0.514,0.506,0.915,0.976,0.955,1.213,1.224,1.222,1.213,1.224,1.222
03:00,0.607,0.658,0.63,0.366,0.362,0.377,0.452,0.469,0.468,0.898,0.989,0.96,1.229,1.249,1.247,1.229,1.249,1.247
03:30,0.584,0.63,0.611,0.356,0.349,0.363,0.439,0.453,0.485,0.857,0.933,0.957,1.161,1.178,1.184,1.161,1.178,1.184
04:00,0.556,0.597,0.576,0.371,0.367,0.375,0.444,0.452,0.467,0.834,0.908,0.948,1.067,1.088,1.09,1.067,1.088,1.09
04:30,0.494,0.507,0.506,0.342,0.346,0.344,0.401,0.407,0.424,0.789,0.807,0.856,0.996,1.008,1.016,0.996,1.008,1.016
