featureId,ElDmUnr,ElDmE7,ElId,GasDm,GasId,OthrId,BldTotDm,BldTotId,BldTot,Mcyc,Taxi,Car,Bus,LGV,Rigd,Art,TransTot,Metab,AllTot
E00023264,1.347,0.0,1.263,4.516,0.4524,0.0,5.863,1.715,7.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.34e-05,7.58
E00003359,1.08,0.0,1.568,3.637,0.7354,0.0,4.715,2.303,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.54e-06,7.02
E00023266,4.145,0.0,4.45,17.03,36.75,0.0,21.17,41.2,62.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002018,62.38
E00020264,1.324,0.0,3.215,2.648,1.332,0.0,3.973,4.547,8.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.417e-05,8.52
E00023263,3.69,0.0,2.967,8.25,0.7954,0.0,11.94,3.762,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001302,15.7
E00007412,3.951,0.0,3.438,10.91,0.2712,0.0,14.85,3.709,18.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001164,18.56
E00007413,5.37,0.0,5.188,13.305,0.4048,0.0,18.67,5.594,24.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001813,24.27
E00175260,29.06,0.0,149.9,36.88,16.73,0.0,65.94,166.6,232.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001687,232.5
E00175261,6.332,0.0,28.92,7.984,3.209,0.0,14.31,32.12,46.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000371,46.47
E00022334,2.203,0.0,1.062,7.137,0.6206,0.0,9.336,1.682,11.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.37e-05,11.02
E00022332,0.3203,0.0,0.4468,0.945,0.2446,0.0,1.265,0.6914,1.957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.03e-06,1.957
E00022336,0.2314,0.0,0.1768,0.739,0.0953,0.0,0.97,0.272,1.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3e-06,1.242
E00022337,1.002,0.0,0.549,3.13,0.318,0.0,4.133,0.8667,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.51e-05,5.0
E00019889,2.475,0.0,2.5,8.39,0.8447,0.0,10.87,3.344,14.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.74e-05,14.21
E00019888,2.486,0.0,7.23,8.04,2.338,0.0,10.53,9.57,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.11e-05,20.1
E00003861,0.9375,0.0,1.232,1.677,0.3801,0.0,2.613,1.613,4.227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-05,4.227
E00019808,5.137,0.0,8.03,8.36,7.008,0.0,13.5,15.04,28.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002416,28.55
E00022333,2.385,0.0,2.256,7.344,1.254,0.0,9.73,3.51,13.234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.276e-05,13.234
E00022330,7.395,0.0,3.729,18.58,2.111,0.0,25.97,5.84,31.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002294,31.81
E00020267,105.6,0.0,128.4,43.22,68.0,0.0,148.9,196.4,345.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005207,345.2
E00023262,4.746,0.0,2.371,16.67,0.904,0.0,21.42,3.275,24.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001432,24.69
E00020266,8.45,0.0,9.9,17.0,4.12,0.0,25.45,14.016,39.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003092,39.47
E00023265,3.447,0.0,4.094,14.13,33.7,0.0,17.58,37.78,55.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001656,55.38
E00023267,1.244,0.0,0.743,4.293,0.278,0.0,5.535,1.021,6.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.666e-05,6.56
E00002700,4.527,0.0,7.24,9.62,0.784,0.0,14.15,8.02,22.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001727,22.17
E00012704,2.31,0.0,6.15,5.67,1.181,0.0,7.98,7.332,15.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69e-05,15.31
E00002703,6.617,0.0,7.32,14.555,0.8213,0.0,21.17,8.14,29.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002651,29.31
E00012705,0.1686,0.0,0.1649,0.469,0.03354,0.0,0.6377,0.1985,0.836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25e-06,0.836
E00002336,2.783,0.0,2.285,7.63,1.409,0.0,10.414,3.693,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.57e-05,14.1
