featureId,ElDmUnr,ElDmE7,ElId,GasDm,GasId,OthrId,BldTotDm,BldTotId,BldTot,Mcyc,Taxi,Car,Bus,LGV,Rigd,Art,TransTot,Metab,AllTot
E00023264,0.4973,0.0,0.8594,1.669,0.3079,0.0,2.166,1.167,3.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.633e-05,3.334
E00003359,0.399,0.0,1.067,1.343,0.5005,0.0,1.742,1.568,3.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64e-06,3.31
E00023266,1.53,0.0,3.03,6.29,25.0,0.0,7.82,28.03,35.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.61e-05,35.84
E00020264,0.4893,0.0,2.19,0.978,0.9067,0.0,1.468,3.096,4.562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66e-05,4.562
E00023263,1.362,0.0,2.02,3.047,0.5415,0.0,4.41,2.56,6.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91e-05,6.97
E00007412,1.459,0.0,2.34,4.027,0.1846,0.0,5.49,2.525,8.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.39e-05,8.01
E00007413,1.983,0.0,3.531,4.914,0.2754,0.0,6.9,3.807,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.837e-05,10.7
E00175260,10.734,0.0,102.0,13.62,11.39,0.0,24.36,113.4,137.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000636,137.8
E00175261,2.34,0.0,19.69,2.95,2.184,0.0,5.29,21.88,27.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014,27.16
E00022334,0.8135,0.0,0.722,2.637,0.4224,0.0,3.45,1.145,4.594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4e-05,4.594
E00022332,0.11835,0.0,0.3042,0.3489,0.1665,0.0,0.4673,0.4707,0.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6e-06,0.938
E00022336,0.0855,0.0,0.1203,0.273,0.0649,0.0,0.3584,0.1852,0.5435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74e-06,0.5435
E00022337,0.3704,0.0,0.3733,1.156,0.2164,0.0,1.526,0.59,2.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5e-06,2.115
E00019889,0.914,0.0,1.701,3.1,0.575,0.0,4.016,2.275,6.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.296e-05,6.29
E00019888,0.9185,0.0,4.92,2.97,1.591,0.0,3.889,6.51,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.307e-05,10.4
E00003861,0.3462,0.0,0.839,0.619,0.2588,0.0,0.9653,1.098,2.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13e-05,2.062
E00019808,1.897,0.0,5.47,3.088,4.77,0.0,4.984,10.234,15.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.114e-05,15.23
E00022333,0.881,0.0,1.535,2.713,0.8535,0.0,3.592,2.389,5.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.366e-05,5.98
E00022330,2.73,0.0,2.537,6.86,1.4375,0.0,9.59,3.975,13.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.65e-05,13.56
E00020267,39.0,0.0,87.4,15.96,46.28,0.0,54.97,133.6,188.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001965,188.6
E00023262,1.752,0.0,1.614,6.156,0.615,0.0,7.91,2.23,10.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4e-05,10.14
