featureId,ElDmUnr,ElDmE7,ElId,GasDm,GasId,OthrId,BldTotDm,BldTotId,BldTot,Mcyc,Taxi,Car,Bus,LGV,Rigd,Art,TransTot,Metab,AllTot
E00023264,1.288,0.0,1.211,4.32,0.4338,0.0,5.605,1.6455,7.254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.34e-05,7.254
E00003359,1.032,0.0,1.504,3.477,0.7056,0.0,4.508,2.209,6.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.54e-06,6.72
E00023266,3.963,0.0,4.27,16.28,35.25,0.0,20.25,39.5,59.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002018,59.75
E00020264,1.267,0.0,3.084,2.533,1.277,0.0,3.799,4.363,8.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.417e-05,8.164
E00023263,3.527,0.0,2.846,7.89,0.763,0.0,11.414,3.61,15.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001302,15.02
E00007412,3.78,0.0,3.297,10.42,0.26,0.0,14.2,3.559,17.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001164,17.77
E00007413,5.137,0.0,4.977,12.73,0.3882,0.0,17.86,5.367,23.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001813,23.23
E00175260,27.78,0.0,143.8,35.25,16.06,0.0,63.03,159.8,222.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001687,222.9
E00175261,6.055,0.0,27.75,7.633,3.078,0.0,13.69,30.83,44.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000371,44.53
E00022334,2.105,0.0,1.018,6.824,0.595,0.0,8.93,1.613,10.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.37e-05,10.55
E00022332,0.3064,0.0,0.4287,0.9033,0.2346,0.0,1.21,0.663,1.873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.03e-06,1.873
E00022336,0.2213,0.0,0.1696,0.7065,0.0914,0.0,0.9277,0.261,1.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3e-06,1.188
E00022337,0.9585,0.0,0.5264,2.992,0.305,0.0,3.951,0.831,4.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.51e-05,4.78
E00019889,2.367,0.0,2.396,8.02,0.81,0.0,10.39,3.207,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.74e-05,13.6
E00019888,2.377,0.0,6.938,7.69,2.242,0.0,10.07,9.18,19.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.11e-05,19.25
E00003861,0.8965,0.0,1.183,1.604,0.3647,0.0,2.5,1.547,4.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-05,4.047
E00019808,4.91,0.0,7.703,7.996,6.723,0.0,12.91,14.43,27.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002416,27.33
E00022333,2.28,0.0,2.164,7.02,1.203,0.0,9.305,3.367,12.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.276e-05,12.67
E00022330,7.07,0.0,3.576,17.77,2.025,0.0,24.83,5.6,30.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002294,30.44
E00020267,101.0,0.0,123.1,41.34,65.2,0.0,142.4,188.4,330.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005207,330.8
E00023262,4.535,0.0,2.275,15.945,0.867,0.0,20.48,3.143,23.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001432,23.62
E00020266,8.086,0.0,9.49,16.25,3.953,0.0,24.34,13.445,37.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003092,37.78
E00023265,3.297,0.0,3.926,13.516,32.3,0.0,16.81,36.25,53.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001656,53.06
E00023267,1.189,0.0,0.713,4.105,0.2668,0.0,5.293,0.9795,6.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.666e-05,6.273
E00002700,4.332,0.0,6.94,9.2,0.7524,0.0,13.53,7.695,21.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001727,21.22
E00012704,2.209,0.0,5.9,5.42,1.133,0.0,7.633,7.03,14.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69e-05,14.664
E00002703,6.33,0.0,7.02,13.914,0.7876,0.0,20.25,7.81,28.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002651,28.05
E00012705,0.1613,0.0,0.1582,0.4485,0.03217,0.0,0.61,0.1904,0.8003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25e-06,0.8003
E00002336,2.66,0.0,2.191,7.293,1.352,0.0,9.95,3.543,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.57e-05,13.5
E00002337,1.969,0.0,2.98,8.24,5.297,0.0,10.21,8.27,18.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.007e-05,18.48
E00012338,0.8047,0.0,0.5312,3.35,0.62,0.0,4.156,1.151,5.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5e-06,5.305
E00012339,0.961,0.0,0.589,4.016,0.6885,0.0,4.977,1.277,6.254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23e-06,6.254
E00012330,0.685,0.0,0.7915,1.661,0.1545,0.0,2.348,0.9463,3.293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1e-06,3.293
E00012331,2.96,0.0,3.389,9.92,0.6523,0.0,12.88,4.043,16.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61e-05,16.92
E00012332,0.01474,0.0,6.1e-06,0.04858,6.6e-06,0.0,0.06335,1.264e-05,0.06335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06335
E00012333,4.11,0.0,9.77,13.05,1.782,0.0,17.16,11.555,28.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31e-05,28.72
E00002334,2.79,0.0,1.373,7.13,0.8823,0.0,9.914,2.256,12.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.476e-05,12.17
E00002335,0.628,0.0,0.638,2.633,1.135,0.0,3.26,1.772,5.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76e-05,5.03
E00014455,2.938,0.0,4.04,8.016,1.086,0.0,10.95,5.125,16.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001028,16.08
E00014452,2.346,0.0,2.625,6.227,0.7188,0.0,8.57,3.344,11.914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.176e-05,11.914
E00014457,7.125,0.0,9.28,19.52,2.506,0.0,26.64,11.78,38.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000251,38.44
E00014454,3.54,0.0,7.188,9.484,1.897,0.0,13.02,9.086,22.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001179,22.11
E00021461,9.445,0.0,59.62,18.31,6.89,0.0,27.77,66.5,94.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045,94.25
E00014456,1.653,0.0,2.123,4.344,0.5757,0.0,5.996,2.7,8.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.96e-05,8.695
E00021463,12.65,0.0,39.47,22.97,4.492,0.0,35.62,43.97,79.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000587,79.56
E00014453,17.5,0.0,20.42,46.28,5.574,0.0,63.78,25.98,89.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000532,89.75
E00014450,6.32,0.0,6.12,16.97,1.697,0.0,23.3,7.82,31.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001972,31.11
