featureId,ElDmUnr,ElDmE7,ElId,GasDm,GasId,OthrId,BldTotDm,BldTotId,BldTot,Mcyc,Taxi,Car,Bus,LGV,Rigd,Art,TransTot,Metab,AllTot
E00023264,1.438,0.0,0.9336,4.83,0.3345,0.0,6.266,1.268,7.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.34e-05,7.53
E00003359,1.153,0.0,1.159,3.885,0.5435,0.0,5.04,1.703,6.742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.54e-06,6.742
E00023266,4.426,0.0,3.29,18.19,27.16,0.0,22.62,30.44,53.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002018,53.06
E00020264,1.415,0.0,2.377,2.83,0.9844,0.0,4.246,3.361,7.605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.417e-05,7.605
E00023263,3.941,0.0,2.193,8.81,0.588,0.0,12.76,2.781,15.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001302,15.54
E00007412,4.223,0.0,2.541,11.65,0.2004,0.0,15.87,2.742,18.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001164,18.61
E00007413,5.74,0.0,3.836,14.22,0.299,0.0,19.95,4.133,24.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001813,24.1
E00175260,31.05,0.0,110.75,39.4,12.375,0.0,70.44,123.1,193.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001687,193.6
E00175261,6.766,0.0,21.38,8.53,2.371,0.0,15.3,23.75,39.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000371,39.06
E00022334,2.354,0.0,0.784,7.625,0.4587,0.0,9.98,1.243,11.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.37e-05,11.22
E00022332,0.3423,0.0,0.3303,1.01,0.1808,0.0,1.352,0.511,1.862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.03e-06,1.862
E00022336,0.2473,0.0,0.1306,0.789,0.07043,0.0,1.036,0.201,1.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3e-06,1.237
E00022337,1.071,0.0,0.4055,3.344,0.2351,0.0,4.414,0.6406,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.51e-05,5.055
E00019889,2.645,0.0,1.848,8.97,0.6245,0.0,11.61,2.47,14.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.74e-05,14.086
E00019888,2.656,0.0,5.344,8.59,1.729,0.0,11.25,7.074,18.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.11e-05,18.33
E00003861,1.002,0.0,0.911,1.791,0.281,0.0,2.793,1.192,3.984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-05,3.984
E00019808,5.49,0.0,5.938,8.94,5.18,0.0,14.42,11.12,25.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002416,25.55
E00022333,2.547,0.0,1.668,7.844,0.9272,0.0,10.39,2.594,12.984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.276e-05,12.984
E00022330,7.9,0.0,2.756,19.84,1.562,0.0,27.73,4.316,32.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002294,32.06
E00020267,112.9,0.0,94.9,46.2,50.25,0.0,159.0,145.1,304.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005207,304.2
E00023262,5.07,0.0,1.753,17.81,0.668,0.0,22.88,2.422,25.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001432,25.3
E00020266,9.03,0.0,7.312,18.16,3.045,0.0,27.19,10.36,37.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003092,37.56
E00023265,3.684,0.0,3.025,15.1,24.9,0.0,18.78,27.94,46.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001656,46.72
E00023267,1.329,0.0,0.5493,4.586,0.2056,0.0,5.914,0.755,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.666e-05,6.67
E00002700,4.84,0.0,5.348,10.28,0.5796,0.0,15.12,5.93,21.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001727,21.05
E00012704,2.469,0.0,4.547,6.06,0.873,0.0,8.52,5.418,13.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69e-05,13.945
E00002703,7.07,0.0,5.41,15.55,0.607,0.0,22.61,6.016,28.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002651,28.64
E00012705,0.1802,0.0,0.12195,0.501,0.0248,0.0,0.681,0.1467,0.828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25e-06,0.828
E00002336,2.973,0.0,1.689,8.15,1.041,0.0,11.125,2.73,13.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.57e-05,13.85
E00002337,2.2,0.0,2.297,9.21,4.082,0.0,11.414,6.375,17.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.007e-05,17.78
E00012338,0.8994,0.0,0.4094,3.742,0.478,0.0,4.64,0.887,5.527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5e-06,5.527
E00012339,1.073,0.0,0.4539,4.484,0.5303,0.0,5.56,0.9844,6.543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23e-06,6.543
E00012330,0.7656,0.0,0.61,1.856,0.1191,0.0,2.623,0.729,3.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1e-06,3.352
E00012331,3.307,0.0,2.611,11.086,0.5024,0.0,14.39,3.115,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61e-05,17.5
E00012332,0.01648,0.0,4.65e-06,0.0543,5.07e-06,0.0,0.07074,9.7e-06,0.0708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0708
E00012333,4.59,0.0,7.53,14.58,1.373,0.0,19.17,8.91,28.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31e-05,28.08
E00002334,3.115,0.0,1.059,7.965,0.6797,0.0,11.08,1.738,12.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.476e-05,12.82
E00002335,0.7017,0.0,0.4917,2.941,0.8745,0.0,3.643,1.366,5.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76e-05,5.008
E00014455,3.281,0.0,3.111,8.95,0.837,0.0,12.234,3.95,16.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001028,16.19
E00014452,2.621,0.0,2.021,6.957,0.5537,0.0,9.58,2.576,12.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.176e-05,12.16
E00014457,7.957,0.0,7.15,21.81,1.931,0.0,29.77,9.08,38.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000251,38.84
E00014454,3.955,0.0,5.54,10.59,1.463,0.0,14.55,7.0,21.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001179,21.55
E00021461,10.55,0.0,45.94,20.47,5.31,0.0,31.02,51.25,82.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045,82.25
E00014456,1.848,0.0,1.637,4.855,0.4436,0.0,6.703,2.08,8.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.96e-05,8.78
E00021463,14.13,0.0,30.4,25.66,3.463,0.0,39.78,33.88,73.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000587,73.7
E00014453,19.55,0.0,15.734,51.72,4.293,0.0,71.25,20.03,91.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000532,91.3
E00014450,7.06,0.0,4.72,18.97,1.308,0.0,26.03,6.023,32.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001972,32.06
E00000371,1.984,0.0,0.885,5.016,0.11475,0.0,7.0,0.9995,7.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.025e-05,7.996
E00024125,20.55,0.0,160.4,37.8,65.3,0.0,58.34,225.6,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008235,284.0
E00005372,2.105,0.0,0.681,5.684,0.571,0.0,7.79,1.252,9.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.843e-05,9.04
E00000370,1.827,0.0,0.797,5.02,0.1035,0.0,6.848,0.9004,7.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.494e-05,7.75
E00000372,2.86,0.0,1.374,7.164,0.1766,0.0,10.02,1.551,11.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.164e-05,11.58
E00000375,2.814,0.0,1.291,7.09,0.1669,0.0,9.91,1.458,11.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1e-05,11.36
E00024126,25.12,0.0,84.4,43.44,32.28,0.0,68.56,116.6,185.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001053,185.2
E00000377,2.65,0.0,2.08,6.277,0.253,0.0,8.93,2.334,11.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.19e-05,11.26
E00000376,1.056,0.0,0.2708,3.107,0.0374,0.0,4.16,0.308,4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46e-05,4.47
E00167227,7.867,0.0,25.16,16.75,4.47,0.0,24.62,29.62,54.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004175,54.25
E00023936,0.8774,0.0,3.025,1.534,5.535,0.0,2.41,8.56,10.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3e-07,10.97
E00023932,0.5576,0.0,24.44,1.113,44.53,0.0,1.671,68.94,70.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2e-06,70.6
E00004395,2.234,0.0,5.312,6.18,1.909,0.0,8.414,7.223,15.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.345e-05,15.64
E00004314,3.92,0.0,1.823,11.76,1.419,0.0,15.67,3.242,18.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001321,18.92
E00015594,4.066,0.0,6.17,9.4,1.676,0.0,13.46,7.848,21.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002606,21.31
E00015593,7.43,0.0,7.766,9.71,3.48,0.0,17.14,11.25,28.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004358,28.39
E00015517,2.68,0.0,0.746,12.23,6.492,0.0,14.91,7.24,22.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8e-05,22.14
E00015515,0.3635,0.0,0.683,1.549,5.766,0.0,1.912,6.45,8.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4e-06,8.36
E00015516,5.555,0.0,2.969,24.58,26.0,0.0,30.14,28.97,59.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001693,59.12
E00015596,1.641,0.0,1.469,4.316,0.403,0.0,5.957,1.872,7.832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.31e-05,7.832
E00019521,1.271,0.0,0.7954,4.266,0.598,0.0,5.535,1.394,6.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.515e-05,6.93
E00015597,4.34,0.0,4.473,5.668,2.006,0.0,10.01,6.48,16.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000255,16.48
E00002783,0.9077,0.0,0.396,3.352,0.1499,0.0,4.26,0.546,4.805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15e-05,4.805
E00012706,2.422,0.0,2.691,6.062,0.527,0.0,8.484,3.219,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.795e-05,11.7
E00002702,0.7715,0.0,0.4526,2.832,0.05176,0.0,3.604,0.5044,4.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05e-05,4.11
E00012707,0.4395,0.0,1.172,1.082,0.2257,0.0,1.521,1.397,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6e-06,2.92
E00021279,5.312,0.0,14.3,10.21,1.275,0.0,15.52,15.57,31.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002549,31.1
E00002784,2.568,0.0,2.098,8.42,0.7534,0.0,10.99,2.852,13.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.455e-05,13.84
E00013768,3.992,0.0,2.984,11.38,0.998,0.0,15.375,3.982,19.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001945,19.36
E00002705,3.568,0.0,2.223,11.58,0.2527,0.0,15.14,2.475,17.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.884e-05,17.62
E00013769,5.543,0.0,4.387,12.28,1.889,0.0,17.83,6.277,24.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002465,24.11
E00008750,2.844,0.0,0.6147,9.14,0.3088,0.0,11.99,0.924,12.914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.497e-05,12.914
E00002704,3.604,0.0,6.383,8.71,0.665,0.0,12.31,7.05,19.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002232,19.36
E00002785,1.16,0.0,0.539,3.059,0.2062,0.0,4.22,0.7456,4.965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17e-05,4.965
E00008753,3.088,0.0,0.9766,9.6,0.4746,0.0,12.69,1.451,14.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.73e-05,14.14
E00002505,2.812,0.0,1.736,10.83,1.039,0.0,13.64,2.775,16.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.59e-05,16.42
E00002502,1.909,0.0,1.22,6.75,0.7324,0.0,8.66,1.952,10.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76e-05,10.61
E00002585,1.609,0.0,0.9014,4.957,0.02832,0.0,6.566,0.9297,7.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15e-05,7.496
E00002584,7.203,0.0,5.9,20.88,0.176,0.0,28.08,6.074,34.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001519,34.16
E00002507,1.632,0.0,0.718,6.535,0.2432,0.0,8.164,0.961,9.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28e-05,9.125
E00002504,3.1,0.0,2.371,10.84,1.41,0.0,13.94,3.781,17.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.54e-05,17.72
E00008552,0.733,0.0,0.372,1.794,0.10315,0.0,2.527,0.475,3.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87e-05,3.002
