featureId,ElDmUnr,ElDmE7,ElId,GasDm,GasId,OthrId,BldTotDm,BldTotId,BldTot,Mcyc,Taxi,Car,Bus,LGV,Rigd,Art,TransTot,Metab,AllTot
E00023264,0.5747,0.0,0.908,1.928,0.3254,0.0,2.502,1.233,3.736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73e-05,3.736
E00003359,0.461,0.0,1.128,1.552,0.5293,0.0,2.014,1.657,3.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,3.67
E00023266,1.769,0.0,3.201,7.27,26.42,0.0,9.04,29.62,38.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.05e-05,38.66
E00020264,0.5654,0.0,2.312,1.131,0.958,0.0,1.695,3.271,4.965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.764e-05,4.965
E00023263,1.574,0.0,2.133,3.521,0.5723,0.0,5.094,2.705,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.19e-05,7.8
E00007412,1.687,0.0,2.473,4.652,0.1951,0.0,6.34,2.668,9.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.643e-05,9.01
E00007413,2.293,0.0,3.732,5.68,0.291,0.0,7.973,4.023,11.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.236e-05,11.99
E00175260,12.4,0.0,107.8,15.734,12.04,0.0,28.14,119.8,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000673,148.0
E00175261,2.703,0.0,20.81,3.406,2.309,0.0,6.11,23.11,29.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001479,29.22
E00022334,0.94,0.0,0.763,3.047,0.4465,0.0,3.986,1.21,5.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54e-05,5.195
