featureId,ElDmUnr,ElDmE7,ElId,GasDm,GasId,OthrId,BldTotDm,BldTotId,BldTot,Mcyc,Taxi,Car,Bus,LGV,Rigd,Art,TransTot,Metab,AllTot
E00023264,1.511,0.0,0.9517,5.066,0.341,0.0,6.58,1.293,7.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.34e-05,7.87
E00003359,1.211,0.0,1.182,4.08,0.554,0.0,5.29,1.736,7.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.54e-06,7.027
E00023266,4.65,0.0,3.354,19.11,27.69,0.0,23.75,31.05,54.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002018,54.78
E00020264,1.485,0.0,2.424,2.97,1.004,0.0,4.457,3.428,7.883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.417e-05,7.883
E00023263,4.137,0.0,2.236,9.26,0.5996,0.0,13.39,2.836,16.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001302,16.23
E00007412,4.434,0.0,2.59,12.23,0.2043,0.0,16.66,2.795,19.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001164,19.45
E00007413,6.023,0.0,3.91,14.93,0.305,0.0,20.95,4.215,25.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001813,25.17
E00175260,32.6,0.0,112.94,41.38,12.62,0.0,73.94,125.56,199.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001687,199.5
E00175261,7.105,0.0,21.8,8.95,2.418,0.0,16.06,24.22,40.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000371,40.28
E00022334,2.47,0.0,0.8,8.01,0.4678,0.0,10.48,1.268,11.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.37e-05,11.74
E00022332,0.3594,0.0,0.3367,1.06,0.1843,0.0,1.419,0.521,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.03e-06,1.94
E00022336,0.2598,0.0,0.1332,0.8286,0.07184,0.0,1.088,0.205,1.293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3e-06,1.293
E00022337,1.124,0.0,0.4133,3.512,0.2396,0.0,4.637,0.6533,5.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.51e-05,5.29
E00019889,2.775,0.0,1.884,9.414,0.6367,0.0,12.19,2.52,14.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.74e-05,14.71
E00019888,2.79,0.0,5.45,9.02,1.762,0.0,11.81,7.21,19.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.11e-05,19.02
E00003861,1.052,0.0,0.929,1.881,0.2864,0.0,2.932,1.216,4.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-05,4.15
E00019808,5.76,0.0,6.055,9.38,5.28,0.0,15.14,11.336,26.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002416,26.48
E00022333,2.674,0.0,1.7,8.234,0.9453,0.0,10.914,2.646,13.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.276e-05,13.555
E00022330,8.3,0.0,2.809,20.83,1.592,0.0,29.12,4.402,33.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002294,33.53
E00020267,118.5,0.0,96.75,48.5,51.25,0.0,167.0,148.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005207,315.0
E00023262,5.32,0.0,1.787,18.7,0.681,0.0,24.02,2.469,26.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001432,26.48
E00020266,9.484,0.0,7.457,19.06,3.105,0.0,28.55,10.56,39.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003092,39.12
E00023265,3.867,0.0,3.084,15.85,25.39,0.0,19.72,28.48,48.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001656,48.2
E00023267,1.3955,0.0,0.56,4.816,0.2096,0.0,6.21,0.7695,6.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.666e-05,6.98
E00002700,5.082,0.0,5.453,10.79,0.591,0.0,15.875,6.043,21.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001727,21.92
E00012704,2.592,0.0,4.633,6.363,0.89,0.0,8.95,5.523,14.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69e-05,14.48
E00002703,7.42,0.0,5.516,16.33,0.619,0.0,23.75,6.133,29.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002651,29.88
E00012705,0.1892,0.0,0.1243,0.5264,0.02528,0.0,0.7153,0.1495,0.8647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25e-06,0.8647
E00002336,3.121,0.0,1.723,8.555,1.062,0.0,11.68,2.783,14.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.57e-05,14.46
E00002337,2.31,0.0,2.342,9.67,4.16,0.0,11.984,6.5,18.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.007e-05,18.48
E00012338,0.944,0.0,0.4175,3.93,0.4873,0.0,4.875,0.905,5.777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5e-06,5.777
E00012339,1.127,0.0,0.463,4.71,0.541,0.0,5.836,1.004,6.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23e-06,6.84
E00012330,0.8037,0.0,0.622,1.949,0.12146,0.0,2.754,0.7437,3.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1e-06,3.496
E00012331,3.473,0.0,2.662,11.63,0.512,0.0,15.11,3.176,18.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61e-05,18.28
E00012332,0.01729,0.0,4.77e-06,0.057,5.2e-06,0.0,0.0743,9.95e-06,0.0743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0743
E00012333,4.82,0.0,7.68,15.305,1.4,0.0,20.12,9.08,29.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31e-05,29.2
E00002334,3.271,0.0,1.079,8.36,0.693,0.0,11.63,1.772,13.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.476e-05,13.41
E00002335,0.737,0.0,0.5015,3.088,0.8916,0.0,3.824,1.393,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76e-05,5.22
E00014455,3.445,0.0,3.172,9.41,0.8535,0.0,12.85,4.027,16.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001028,16.88
E00014452,2.752,0.0,2.062,7.305,0.565,0.0,10.055,2.627,12.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.176e-05,12.68
E00014457,8.36,0.0,7.29,22.89,1.969,0.0,31.25,9.26,40.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000251,40.5
E00014454,4.152,0.0,5.645,11.125,1.491,0.0,15.27,7.137,22.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001179,22.42
E00021461,11.08,0.0,46.84,21.48,5.414,0.0,32.56,52.25,84.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045,84.8
E00014456,1.939,0.0,1.669,5.098,0.4524,0.0,7.035,2.121,9.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.96e-05,9.16
E00021463,14.84,0.0,31.0,26.94,3.531,0.0,41.78,34.53,76.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000587,76.3
E00014453,20.53,0.0,16.05,54.3,4.38,0.0,74.8,20.42,95.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000532,95.25
E00014450,7.414,0.0,4.81,19.9,1.333,0.0,27.33,6.145,33.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001972,33.47
E00000371,2.084,0.0,0.902,5.266,0.117,0.0,7.348,1.019,8.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.025e-05,8.37
E00024125,21.56,0.0,163.5,39.7,66.56,0.0,61.25,230.1,291.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008235,291.2
E00005372,2.209,0.0,0.695,5.97,0.582,0.0,8.18,1.277,9.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.843e-05,9.45
E00000370,1.919,0.0,0.8125,5.273,0.1055,0.0,7.19,0.918,8.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.494e-05,8.11
E00000372,3.004,0.0,1.401,7.52,0.1802,0.0,10.52,1.581,12.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.164e-05,12.11
E00000375,2.955,0.0,1.316,7.44,0.1702,0.0,10.4,1.486,11.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1e-05,11.88
E00024126,26.38,0.0,86.0,45.62,32.94,0.0,72.0,118.94,190.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001053,190.9
E00000377,2.783,0.0,2.121,6.59,0.2578,0.0,9.375,2.379,11.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.19e-05,11.75
E00000376,1.108,0.0,0.2761,3.262,0.03815,0.0,4.37,0.3142,4.684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46e-05,4.684
